NumberOfPlayers,Score,WinPercentage,AverageOpponentScore
2,50,0.1528,373.7
2,100,0.2983,375.175
2,150,0.4681,375.55
2,200,0.5658,374.57
2,250,0.6085,377.875
2,300,0.6271,374.95
2,350,0.6259,372.245
2,400,0.6037,376.915
2,450,0.5915,377.065
2,500,0.5538,372.515
2,550,0.534,375.705
2,600,0.4923,378.18
2,650,0.4575,372.895
2,700,0.4103,376.585
2,750,0.3788,375.705
2,800,0.3288,377.565
2,850,0.305,376.515
2,900,0.2835,372.97
2,950,0.2373,374.55
3,50,0.0432,376.685
3,100,0.1221,375.045
3,150,0.2674,374.985
3,200,0.364,376.8975
3,250,0.4179,372.79
3,300,0.4453,375.76
3,350,0.4483,372.27
3,400,0.4402,374.9625
3,450,0.4157,376.3025
3,500,0.392,373.465
3,550,0.3726,371.8
3,600,0.3402,372.905
3,650,0.298,376.29
3,700,0.2706,375.3225
3,750,0.2442,375.275
3,800,0.2061,375.9425
3,850,0.1878,376.88
3,900,0.1674,375.51
3,950,0.1441,374.1875
4,50,0.017,374.8316666666661
4,100,0.0587,376.4516666666664
4,150,0.1683,373.91
4,200,0.255,377.8800000000002
4,250,0.3214,373.7183333333337
4,300,0.3394,374.610000000001
4,350,0.3524,373.7066666666661
4,400,0.3479,376.24333333333254
4,450,0.3405,376.1583333333324
4,500,0.3148,374.0416666666656
4,550,0.2933,374.0500000000005
4,600,0.2613,374.8799999999994
4,650,0.2295,374.76000000000096
4,700,0.2051,373.53333333333194
4,750,0.1846,374.3233333333328
4,800,0.1642,374.41499999999974
4,850,0.1416,374.8033333333334
4,900,0.1259,373.8249999999995
4,950,0.1061,374.72
5,50,0.0093,374.79625
5,100,0.0382,375.085
5,150,0.1165,374.8475
5,200,0.1884,374.445
5,250,0.2547,374.56125
5,300,0.2725,375.69125
5,350,0.2924,375.77125
5,400,0.2859,374.36375
5,450,0.2743,377.3575
5,500,0.262,374.565
5,550,0.2392,376.4625
5,600,0.2158,374.10375
5,650,0.193,374.66875
5,700,0.1723,376.685
5,750,0.1571,375.815
5,800,0.1295,375.23625
5,850,0.1191,375.81375
5,900,0.0996,375.355
5,950,0.0819,374.43
6,50,0.0055,375.759
6,100,0.0256,377.145
6,150,0.0844,374.499
6,200,0.1474,374.645
6,250,0.2011,374.357
6,300,0.2337,375.395
6,350,0.2459,376.9
6,400,0.2452,375.505
6,450,0.2229,374.034
6,500,0.2191,374.636
6,550,0.2017,374.8
6,600,0.179,373.721
6,650,0.164,375.675
6,700,0.1437,374.796
6,750,0.1292,374.824
6,800,0.1132,375.169
6,850,0.098,373.676
6,900,0.0878,375.612
6,950,0.0731,373.696
7,50,0.0033,374.3966666666657
7,100,0.0143,375.8591666666653
7,150,0.0635,375.0258333333321
7,200,0.1172,374.6541666666663
7,250,0.1732,374.74249999999915
7,300,0.2035,375.2649999999999
7,350,0.214,375.0050000000004
7,400,0.2134,375.1800000000015
7,450,0.2143,375.29000000000036
7,500,0.1899,375.00583333333486
7,550,0.1789,375.83083333333275
7,600,0.1673,373.5974999999988
7,650,0.1451,374.1066666666669
7,700,0.1209,373.1908333333325
7,750,0.1146,375.2041666666689
7,800,0.0944,375.14250000000095
7,850,0.0826,374.72249999999906
7,900,0.083,374.87249999999875
7,950,0.061,374.4266666666672
8,50,0.0034,375.92642857142937
8,100,0.0115,374.3228571428578
8,150,0.0504,374.654285714285
8,200,0.1016,375.55214285714186
8,250,0.1428,375.6035714285713
8,300,0.1722,374.93785714285747
8,350,0.1821,375.5150000000013
8,400,0.1808,375.8007142857148
8,450,0.1817,374.37357142857246
8,500,0.1725,374.9807142857135
8,550,0.1626,374.3457142857123
8,600,0.1418,374.3899999999998
8,650,0.1269,375.3378571428582
8,700,0.1167,373.7499999999999
8,750,0.0997,375.61642857142795
8,800,0.0868,375.50928571428494
8,850,0.0783,374.01714285714365
8,900,0.0674,373.75999999999993
8,950,0.0629,374.0149999999994
9,50,0.0025,375.509375
9,100,0.0092,376.04
9,150,0.0447,375.72375
9,200,0.0848,376.06625
9,250,0.1314,376.268125
9,300,0.1467,375.118125
9,350,0.1652,376.45125
9,400,0.1654,374.33875
9,450,0.1582,374.711875
9,500,0.1554,375.395
9,550,0.1457,374.25625
9,600,0.1288,372.981875
9,650,0.1137,374.665625
9,700,0.1024,375.004375
9,750,0.0891,374.699375
9,800,0.0782,375.52625
9,850,0.0696,375.9525
9,900,0.0662,375.26375
9,950,0.0471,373.973125
10,50,0.0017,375.8016666666668
10,100,0.0078,375.8333333333321
10,150,0.0352,375.1588888888895
10,200,0.0673,374.16444444444386
10,250,0.1142,375.78055555555375
10,300,0.1406,375.4649999999965
10,350,0.1454,375.23388888888866
10,400,0.1506,375.56888888888847
10,450,0.1522,374.9949999999988
10,500,0.1396,375.42222222222057
10,550,0.1302,374.263333333334
10,600,0.1198,374.021666666666
10,650,0.1035,374.2038888888882
10,700,0.0897,375.3272222222221
10,750,0.0879,374.4233333333346
10,800,0.0727,375.4299999999974
10,850,0.0639,375.0088888888897
10,900,0.0588,373.77611111111145
10,950,0.0466,374.69333333333265
11,50,0.0009,375.0055
11,100,0.0062,374.824
11,150,0.0284,375.6805
11,200,0.0598,376.153
11,250,0.1006,374.1665
11,300,0.1237,374.001
11,350,0.1361,375.286
11,400,0.1422,375.6425
11,450,0.1364,374.2485
11,500,0.1351,374.288
11,550,0.1204,375.2235
11,600,0.1115,375.2615
11,650,0.0999,375.2545
11,700,0.0858,374.8935
11,750,0.0774,374.7285
11,800,0.0669,376.137
11,850,0.057,376.159
11,900,0.052,374.0415
11,950,0.0442,373.446
12,50,0.0007,374.981363636362
