MaxOpponentScore,Score,WinPercentage,AverageOpponentScore
100,50,0.1649,50.0
100,100,0.4184,50.0
100,150,0.6878,50.0
100,200,0.7832,50.0
100,250,0.8282,50.0
100,300,0.8353,50.0
100,350,0.8146,50.0
100,400,0.7996,50.0
100,450,0.7685,50.0
100,500,0.7302,50.0
100,550,0.6806,50.0
100,600,0.634,50.0
100,650,0.5915,50.0
100,700,0.5271,50.0
100,750,0.4823,50.0
100,800,0.4278,50.0
100,850,0.3738,50.0
100,900,0.3514,50.0
100,950,0.2933,50.0
150,50,0.0838,75.218
150,100,0.2437,74.947
150,150,0.5205,75.022
150,200,0.6449,75.172
150,250,0.701,74.876
150,300,0.7112,75.001
150,350,0.7026,75.128
150,400,0.6793,74.953
150,450,0.6533,75.116
150,500,0.6127,74.915
150,550,0.5709,74.942
150,600,0.5117,75.218
150,650,0.4766,75.156
150,700,0.4227,74.727
150,750,0.3834,74.945
150,800,0.3347,75.092
150,850,0.2878,75.148
150,900,0.2775,74.99
150,950,0.2271,74.883
200,50,0.038,100.176
200,100,0.1362,99.925
200,150,0.3264,100.036
200,200,0.4638,100.164
200,250,0.5433,99.826
200,300,0.5602,100.003
200,350,0.5571,100.127
200,400,0.5365,100.022
200,450,0.5078,99.996
200,500,0.4769,99.841
200,550,0.4407,99.914
200,600,0.4076,99.809
200,650,0.3608,100.046
200,700,0.3264,100.222
200,750,0.2913,99.943
200,800,0.2476,100.226
200,850,0.2225,99.993
200,900,0.1916,99.733
200,950,0.1621,100.143
250,50,0.0214,124.93
250,100,0.0769,124.724
250,150,0.2242,124.891
250,200,0.3413,124.937
250,250,0.4092,124.687
250,300,0.445,125.405
250,350,0.4521,125.09
250,400,0.4363,124.721
250,450,0.4149,124.695
250,500,0.3962,124.883
250,550,0.3644,125.349
250,600,0.3267,124.743
250,650,0.2937,124.846
250,700,0.2574,124.846
250,750,0.2314,124.801
250,800,0.1911,124.992
250,850,0.1735,124.64
250,900,0.156,125.359
250,950,0.1366,124.974
300,50,0.0125,150.35
300,100,0.0535,150.323
300,150,0.169,149.795
300,200,0.259,150.552
300,250,0.3401,150.033
300,300,0.368,149.707
300,350,0.3698,149.877
300,400,0.3686,149.6
300,450,0.3517,149.849
300,500,0.3293,150.086
300,550,0.3011,149.813
300,600,0.2703,149.782
300,650,0.2434,149.941
300,700,0.2173,149.833
300,750,0.1918,149.665
300,800,0.1638,149.701
300,850,0.1459,149.978
300,900,0.1356,149.565
300,950,0.1125,150.109
350,50,0.0088,175.154
350,100,0.0381,175.106
350,150,0.1348,174.734
350,200,0.2198,174.832
350,250,0.2861,175.184
350,300,0.3171,175.138
350,350,0.3424,174.75
350,400,0.3136,175.783
350,450,0.3143,174.627
350,500,0.2843,174.579
350,550,0.2825,174.318
350,600,0.2417,175.05
350,650,0.2139,175.107
350,700,0.1917,175.139
350,750,0.1716,175.122
350,800,0.1442,175.327
350,850,0.1232,174.773
350,900,0.1147,175.224
350,950,0.0979,175.411
400,50,0.007,200.291
400,100,0.0313,200.191
400,150,0.1075,199.833
400,200,0.1824,199.69
400,250,0.2538,200.204
400,300,0.285,199.361
400,350,0.2967,200.28
400,400,0.2953,199.738
400,450,0.2844,200.416
400,500,0.2667,200.276
400,550,0.2389,200.594
400,600,0.2113,200.474
400,650,0.2005,199.93
400,700,0.167,200.522
400,750,0.1529,199.843
400,800,0.1283,199.679
400,850,0.1158,200.653
